date,year,month,month_name,day,day_of_week,city,crop,market_id,min_price,max_price,weight_kg,min_price_per_kg,max_price_per_kg,avg_price_per_kg,price_range_per_kg,temperature_c,rainfall_mm,weather_condition,inflation_rate_percent,fuel_type,old_price,new_price,fuel_price_change,market_category,supply_status,demand_level,vendor_type,latitude,longitude,season,price_status,price_outlier_flag
1/22/2021,2021,1,January,22,Friday,multan,potato,649,62.91,69.33,5,62.91,69.33,66.12,6.42,16.37,0,normal,9.5,unknown,59.33,69.6,10.27,wholesale,high,low,unknown,34.45,71.52,winter,above_fair_price,normal
1/23/2021,2021,1,January,23,Saturday,islamabad,wheat,452,92.3,101.72,20,92.3,101.72,97.01,9.42,10.75,1.42,cold,9.5,unknown,88.5,102.23,13.73,unknown,medium,unknown,unknown,30.08,71.34,winter,below_fair_price,normal
1/23/2021,2021,1,January,23,Saturday,karachi,tomato,kar_tom_20210123,111.02,122.35,20,111.02,122.35,116.685,11.33,20.35,0,normal,9.5,unknown,109,105.72,-3.28,farmer_market,unknown,unknown,wholesaler,32.16,72.81,winter,below_fair_price,normal
1/23/2021,2021,1,January,23,Saturday,lahore,rice,874,137.03,151.01,10,137.03,151.01,144.02,13.98,11.24,0.43,cold,9.5,diesel,127.18,154.97,27.79,wholesale,low,high,retailer,31.52,74.36,winter,above_fair_price,normal
1/23/2021,2021,1,January,23,Saturday,multan,rice,767,132.84,146.39,20,132.84,146.39,139.615,13.55,13.78,0,cold,9.5,diesel,88.5,152.25,49.31,middleman_market,medium,unknown,small_farmer,26.3,71.52,winter,below_fair_price,normal
1/23/2021,2021,1,January,23,Saturday,peshawar,rice,608,133.08,233.03,100,133.08,233.03,183.055,99.95,5.37,0,cold,9.5,unknown,129.97,152.57,22.6,unknown,unknown,high,unknown,24.11,63.73,winter,below_fair_price,normal
1/24/2021,2021,1,January,24,Sunday,islamabad,potato,709,61.06,67.29,50,61.06,67.29,64.175,6.23,9.25,0,cold,9.5,unknown,55.37,73.96,18.59,retail,unknown,unknown,unknown,33.04,64.29,winter,below_fair_price,normal
1/24/2021,2021,1,January,24,Sunday,karachi,onion,kar_oni_20210124,79.23,87.31,5,79.23,87.31,83.27,8.08,19.4,0,normal,9.5,unknown,77.91,87.48,9.57,farmer_market,medium,medium,unknown,24.86,70.24,winter,above_fair_price,normal
1/24/2021,2021,1,January,24,Sunday,karachi,potato,275,61.32,67.58,100,61.32,67.58,64.45,6.26,19.4,0,normal,9.5,unknown,60.34,105.72,45.38,wholesale,unknown,medium,wholesaler,29.24,70.49,winter,below_fair_price,normal
1/24/2021,2021,1,January,24,Sunday,lahore,potato,547,65.33,72,10,65.33,72,68.665,6.67,11.42,0,cold,9.5,unknown,64.23,74.13,9.9,cooperative,low,high,unknown,31.52,74.36,winter,above_fair_price,normal
1/24/2021,2021,1,January,24,Sunday,lahore,wheat,429,89.76,156.91,20,89.76,156.91,123.335,67.15,11.42,0.08,cold,9.5,unknown,87.77,102.47,14.7,wholesale,medium,unknown,wholesaler,31.52,67.96,winter,below_fair_price,normal
1/25/2021,2021,1,January,25,Monday,islamabad,onion,812,81.55,89.88,25,81.55,89.88,85.715,8.33,9.94,0,cold,9.5,unknown,78.14,91.26,13.12,unknown,high,medium,retailer,33.68,73.05,winter,below_fair_price,normal
1/25/2021,2021,1,January,25,Monday,karachi,rice,kar_ric_20210125,143.3,157.92,25,143.3,157.92,150.61,14.62,18.46,0,normal,9.5,unknown,137.57,163.14,25.57,farmer_market,unknown,low,wholesaler,24.86,73.04,winter,below_fair_price,normal
1/25/2021,2021,1,January,25,Monday,lahore,tomato,163,106.99,117.9,10,106.99,117.9,112.445,10.91,11.88,0,cold,9.5,unknown,88.5,121.81,33.31,retail,unknown,unknown,unknown,29.99,74.36,winter,above_fair_price,normal
1/25/2021,2021,1,January,25,Monday,multan,onion,mul_oni_20210125,86.93,95.8,20,86.93,95.8,91.365,8.87,12.51,0,cold,9.5,unknown,83.79,99.29,15.5,wholesale,medium,high,wholesaler,30.16,71.52,winter,fair_price,normal
1/25/2021,2021,1,January,25,Monday,multan,wheat,691,94.72,104.38,20,94.72,104.38,99.55,9.66,12.51,0,cold,9.5,unknown,90.2,105.47,15.27,wholesale,medium,unknown,cooperative,24.58,61.08,winter,below_fair_price,normal
1/26/2021,2021,1,January,26,Tuesday,karachi,wheat,330,97.11,107.02,20,97.11,107.02,102.065,9.91,18.36,0,normal,9.5,unknown,91.14,110.24,19.1,retail,unknown,unknown,middleman,24.86,63.18,winter,below_fair_price,normal
1/26/2021,2021,1,January,26,Tuesday,multan,tomato,812,113.08,124.62,25,113.08,124.62,118.85,11.54,12.19,0,cold,9.5,unknown,109.32,126.8,17.48,open_market,medium,low,middleman,30.16,71.52,winter,below_fair_price,normal
1/26/2021,2021,1,January,26,Tuesday,peshawar,tomato,421,109.08,120.21,1,109.08,120.21,114.645,11.13,7.58,0,cold,9.5,unknown,103.03,121.94,18.91,cooperative,medium,medium,retailer,27.9,71.52,winter,above_fair_price,capped
1/26/2021,2021,1,January,26,Tuesday,peshawar,wheat,pes_whe_20210126,96.52,157.49,100,96.52,157.49,127.005,60.97,7.58,0,cold,9.5,unknown,93.75,114.88,21.13,local_market,medium,medium,unknown,26.29,71.52,winter,below_fair_price,normal
1/28/2021,2021,1,January,28,Thursday,islamabad,rice,isl_ric_20210128,137.41,151.44,20,137.41,151.44,144.425,14.03,11.19,0,cold,9.5,unknown,133.4,154.71,21.31,unknown,medium,high,small_farmer,32.42,61.88,winter,below_fair_price,normal
1/28/2021,2021,1,January,28,Thursday,multan,potato,917,63.45,69.93,10,63.45,69.93,66.69,6.48,12.44,0,cold,9.5,petrol,59.55,70.81,11.26,unknown,unknown,unknown,unknown,30.02,71.52,winter,above_fair_price,normal
1/28/2021,2021,1,January,28,Thursday,peshawar,onion,524,84.58,93.21,1,84.58,93.21,88.895,8.63,8.09,0,cold,9.5,unknown,82.55,105.72,23.17,local_market,unknown,low,unknown,34.02,71.52,winter,above_fair_price,capped
1/29/2021,2021,1,January,29,Friday,islamabad,wheat,818,97.15,107.06,10,97.15,107.06,102.105,9.91,10.1,0,cold,9.5,unknown,94.62,108.29,13.67,cooperative,low,low,retailer,28.65,73.05,winter,above_fair_price,normal
1/29/2021,2021,1,January,29,Friday,lahore,rice,312,144.02,158.71,5,144.02,158.71,151.365,14.69,11.17,0,cold,9.5,unknown,142.37,105.72,-6.05,middleman_market,high,low,retailer,31.52,66.39,winter,above_fair_price,normal
